08:43:00, Front door contact sensor, on
08:43:49, Computer chair motion sensor, off
08:43:49, Computer chair motion sensor, on
08:43:50, Computer chair motion sensor, off
08:43:50, Computer chair motion sensor, on
08:43:50, Computer chair motion sensor, off
08:43:50, Computer chair motion sensor, on
08:43:50, Computer chair motion sensor, off
08:43:50, Computer chair motion sensor, on
08:43:51, Computer chair motion sensor, off
08:43:51, Computer chair motion sensor, on
08:43:51, Computer chair motion sensor, off
08:43:51, Computer chair motion sensor, on
08:43:52, Computer chair motion sensor, off
08:43:52, Computer chair motion sensor, on
08:43:52, Computer chair motion sensor, off
08:43:52, Computer chair motion sensor, on
08:43:53, Computer chair motion sensor, off
08:43:53, Computer chair motion sensor, on
08:43:53, Computer chair motion sensor, off
08:43:53, Computer chair motion sensor, on
08:43:53, Computer chair motion sensor, off
08:43:53, Computer chair motion sensor, on
08:43:53, Computer chair motion sensor, off
08:43:53, Computer chair motion sensor, on
08:43:53, Computer chair motion sensor, off
08:43:53, Computer chair motion sensor, on
08:43:54, Computer chair motion sensor, off
08:43:54, Computer chair motion sensor, on
08:43:54, Computer chair motion sensor, off
08:43:54, Computer chair motion sensor, on
08:43:55, Computer chair motion sensor, off
08:43:55, Computer chair motion sensor, on
08:43:55, Computer chair motion sensor, off
08:43:55, Computer chair motion sensor, on
08:43:56, Computer chair motion sensor, off
08:43:56, Computer chair motion sensor, on
08:43:56, Computer chair motion sensor, off
08:43:56, Computer chair motion sensor, on
08:43:56, Computer chair motion sensor, off
08:43:56, Computer chair motion sensor, on
08:43:56, Computer chair motion sensor, off
08:43:56, Computer chair motion sensor, on
08:43:56, Computer chair motion sensor, off
08:43:56, Computer chair motion sensor, on
08:43:57, Computer chair motion sensor, off
08:43:57, Computer chair motion sensor, on
08:43:57, Computer chair motion sensor, off
08:43:57, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:58, Computer chair motion sensor, off
08:43:58, Computer chair motion sensor, on
08:43:59, Computer, off
08:43:59, Computer, on
08:44:00, Computer chair motion sensor, off
08:44:00, Computer chair motion sensor, on
08:44:00, Computer chair motion sensor, off
08:44:00, Computer chair motion sensor, on
08:44:01, Computer chair motion sensor, off
08:44:01, Computer chair motion sensor, on
08:44:01, Computer chair motion sensor, off
08:44:01, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:03, Computer chair motion sensor, off
08:44:03, Computer chair motion sensor, on
08:44:04, Computer chair motion sensor, off
08:44:04, Computer chair motion sensor, on
08:44:06, Computer chair motion sensor, off
08:44:06, Computer chair motion sensor, on
08:44:06, Computer chair motion sensor, off
08:44:06, Computer chair motion sensor, on
08:44:06, Computer chair motion sensor, off
08:44:06, Computer chair motion sensor, on
08:44:07, Computer chair motion sensor, off
08:44:07, Computer chair motion sensor, on
08:44:07, Computer chair motion sensor, off
08:44:07, Computer chair motion sensor, on
08:44:07, Computer chair motion sensor, off
08:44:07, Computer chair motion sensor, on
08:44:07, Computer chair motion sensor, off
08:44:07, Computer chair motion sensor, on
08:44:07, Computer chair motion sensor, off
08:44:07, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:08, Computer chair motion sensor, off
08:44:08, Computer chair motion sensor, on
08:44:09, Computer chair motion sensor, off
08:44:09, Computer chair motion sensor, on
08:44:10, Computer chair motion sensor, off
08:44:10, Computer chair motion sensor, on
08:44:10, Computer chair motion sensor, off
08:44:10, Computer chair motion sensor, on
08:44:10, Computer chair motion sensor, off
08:44:10, Computer chair motion sensor, on
08:44:10, Computer chair motion sensor, off
08:44:10, Computer chair motion sensor, on
08:44:11, Computer chair motion sensor, off
08:44:11, Computer chair motion sensor, on
08:44:11, Computer chair motion sensor, off
08:44:11, Computer chair motion sensor, on
08:44:11, Computer chair motion sensor, off
08:44:11, Computer chair motion sensor, on
08:44:12, Computer chair motion sensor, off
08:44:12, Computer chair motion sensor, on
08:44:13, Computer chair motion sensor, off
08:44:13, Computer chair motion sensor, on
08:44:13, Computer chair motion sensor, off
08:44:13, Computer chair motion sensor, on
08:44:14, Computer chair motion sensor, off
08:44:14, Computer chair motion sensor, on
08:44:14, Computer chair motion sensor, off
08:44:14, Computer chair motion sensor, on
08:44:14, Computer chair motion sensor, off
08:44:14, Computer chair motion sensor, on
08:44:14, Computer chair motion sensor, off
08:44:14, Computer chair motion sensor, on
08:44:16, Computer chair motion sensor, off
08:44:16, Computer chair motion sensor, on
08:44:16, Computer chair motion sensor, off
08:44:16, Computer chair motion sensor, on
08:44:16, Computer, off
08:44:16, Computer, on
08:44:17, Computer chair motion sensor, off
08:44:17, Computer chair motion sensor, on
08:44:17, Computer chair motion sensor, off
08:44:17, Computer chair motion sensor, on
08:44:17, Computer chair motion sensor, off
08:44:17, Computer chair motion sensor, on
08:44:18, Computer chair motion sensor, off
08:44:18, Computer chair motion sensor, on
08:44:18, Computer chair motion sensor, off
08:44:18, Computer chair motion sensor, on
08:44:18, Computer chair motion sensor, off
08:44:18, Computer chair motion sensor, on
08:44:19, Computer chair motion sensor, off
08:44:19, Computer chair motion sensor, on
08:44:19, Computer chair motion sensor, off
08:44:19, Computer chair motion sensor, on
08:44:19, Computer chair motion sensor, off
08:44:19, Computer chair motion sensor, on
08:44:20, Computer chair motion sensor, off
08:44:20, Computer chair motion sensor, on
08:44:20, Computer chair motion sensor, off
08:44:20, Computer chair motion sensor, on
08:44:20, Computer chair motion sensor, off
08:44:20, Computer chair motion sensor, on
08:44:21, Computer chair motion sensor, off
08:44:21, Computer chair motion sensor, on
08:44:21, Computer chair motion sensor, off
08:44:21, Computer chair motion sensor, on
08:44:21, Computer chair motion sensor, off
08:44:21, Computer chair motion sensor, on
08:44:22, Computer chair motion sensor, off
08:44:22, Computer chair motion sensor, on
08:44:23, Computer chair motion sensor, off
08:44:23, Computer chair motion sensor, on
08:44:23, Computer chair motion sensor, off
08:44:23, Computer chair motion sensor, on
08:44:23, Computer chair motion sensor, off
08:44:23, Computer chair motion sensor, on
08:44:23, Computer chair motion sensor, off
08:44:23, Computer chair motion sensor, on
08:44:24, Computer chair motion sensor, off
08:44:24, Computer chair motion sensor, on
08:44:24, Computer chair motion sensor, off
08:44:24, Computer chair motion sensor, on
08:44:24, Computer chair motion sensor, off
08:44:24, Computer chair motion sensor, on
08:44:24, Computer chair motion sensor, off
08:44:24, Computer chair motion sensor, on
08:44:24, Computer chair motion sensor, off
08:44:24, Computer chair motion sensor, on
08:44:25, Computer chair motion sensor, off
08:44:25, Computer chair motion sensor, on
08:44:25, Computer chair motion sensor, off
08:44:25, Computer chair motion sensor, on
08:44:25, Computer chair motion sensor, off
08:44:26, Computer chair motion sensor, on
08:44:26, Computer chair motion sensor, off
08:44:26, Computer chair motion sensor, on
08:44:27, Computer chair motion sensor, off
08:44:27, Computer chair motion sensor, on
08:44:27, Computer chair motion sensor, off
08:44:27, Computer chair motion sensor, on
08:44:27, Computer chair motion sensor, off
08:44:27, Computer chair motion sensor, on
08:44:27, Computer chair motion sensor, off
08:44:27, Computer chair motion sensor, on
08:44:28, Computer chair motion sensor, off
08:44:28, Computer chair motion sensor, on
08:44:28, Computer chair motion sensor, off
08:44:28, Computer chair motion sensor, on
08:44:29, Computer chair motion sensor, off
08:44:29, Computer chair motion sensor, on
08:44:30, Computer chair motion sensor, off
08:44:30, Computer chair motion sensor, on
08:44:30, Computer chair motion sensor, off
08:44:30, Computer chair motion sensor, on
08:44:30, Computer chair motion sensor, off
08:44:30, Computer chair motion sensor, on
08:44:30, Computer chair motion sensor, off
08:44:30, Computer chair motion sensor, on
08:44:31, Computer chair motion sensor, off
08:44:31, Computer chair motion sensor, on
08:44:31, Computer chair motion sensor, off
08:44:31, Computer chair motion sensor, on
08:44:31, Computer chair motion sensor, off
08:44:31, Computer chair motion sensor, on
08:44:32, Computer, off
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:33, Computer chair motion sensor, on
08:44:33, Computer chair motion sensor, off
08:44:35, Computer chair motion sensor, on
08:44:35, Computer chair motion sensor, off
08:44:35, Computer chair motion sensor, on
08:44:35, Computer chair motion sensor, off
08:44:35, Computer chair motion sensor, on
08:44:35, Computer chair motion sensor, off
08:44:35, Computer chair motion sensor, on
08:44:35, Computer chair motion sensor, off
08:44:35, Computer chair motion sensor, on
08:44:35, Computer chair motion sensor, off
